filepath,thesis_group,template,timeframe,description,params
thesis_01_rolling_mean_quantile/T01-A_close_5min_0001.py,01,T01-A_close,5min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=5;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_close_5min_0002.py,01,T01-A_close,5min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=8;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_close_5min_0003.py,01,T01-A_close,5min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=10;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_close_5min_0004.py,01,T01-A_close,5min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=14;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_close_5min_0005.py,01,T01-A_close,5min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=20;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_close_5min_0006.py,01,T01-A_close,5min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=30;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_close_5min_0007.py,01,T01-A_close,5min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=50;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_close_5min_0008.py,01,T01-A_close,5min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=100;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_close_5min_0009.py,01,T01-A_close,5min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=200;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_close_15min_0010.py,01,T01-A_close,15min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=5;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_close_15min_0011.py,01,T01-A_close,15min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=8;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_close_15min_0012.py,01,T01-A_close,15min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=10;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_close_15min_0013.py,01,T01-A_close,15min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=14;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_close_15min_0014.py,01,T01-A_close,15min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=20;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_close_15min_0015.py,01,T01-A_close,15min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=30;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_close_15min_0016.py,01,T01-A_close,15min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=50;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_close_15min_0017.py,01,T01-A_close,15min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=100;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_close_15min_0018.py,01,T01-A_close,15min,"Price vs Rolling Mean (close)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=200;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_close_30min_0019.py,01,T01-A_close,30min,"Price vs Rolling Mean (close)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;mean_window=5;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_01_rolling_mean_quantile/T01-A_close_30min_0020.py,01,T01-A_close,30min,"Price vs Rolling Mean (close)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;mean_window=8;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_01_rolling_mean_quantile/T01-A_close_30min_0021.py,01,T01-A_close,30min,"Price vs Rolling Mean (close)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;mean_window=10;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_01_rolling_mean_quantile/T01-A_close_30min_0022.py,01,T01-A_close,30min,"Price vs Rolling Mean (close)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;mean_window=14;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_01_rolling_mean_quantile/T01-A_close_30min_0023.py,01,T01-A_close,30min,"Price vs Rolling Mean (close)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;mean_window=20;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_01_rolling_mean_quantile/T01-A_close_30min_0024.py,01,T01-A_close,30min,"Price vs Rolling Mean (close)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;mean_window=30;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_01_rolling_mean_quantile/T01-A_close_30min_0025.py,01,T01-A_close,30min,"Price vs Rolling Mean (close)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;mean_window=50;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_01_rolling_mean_quantile/T01-A_close_30min_0026.py,01,T01-A_close,30min,"Price vs Rolling Mean (close)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;mean_window=100;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_01_rolling_mean_quantile/T01-A_close_30min_0027.py,01,T01-A_close,30min,"Price vs Rolling Mean (close)","adx_entry=18;adx_entry_weak=15;adx_exit=12;adx_window=14;ema_window=20;max_cycle=50;mean_window=200;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=8;roc_window=8;rsi_window=14;vol_window=26"
thesis_01_rolling_mean_quantile/T01-A_close_60min_0028.py,01,T01-A_close,60min,"Price vs Rolling Mean (close)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;mean_window=5;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_01_rolling_mean_quantile/T01-A_close_60min_0029.py,01,T01-A_close,60min,"Price vs Rolling Mean (close)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;mean_window=8;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_01_rolling_mean_quantile/T01-A_close_60min_0030.py,01,T01-A_close,60min,"Price vs Rolling Mean (close)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;mean_window=10;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_01_rolling_mean_quantile/T01-A_close_60min_0031.py,01,T01-A_close,60min,"Price vs Rolling Mean (close)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;mean_window=14;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_01_rolling_mean_quantile/T01-A_close_60min_0032.py,01,T01-A_close,60min,"Price vs Rolling Mean (close)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;mean_window=20;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_01_rolling_mean_quantile/T01-A_close_60min_0033.py,01,T01-A_close,60min,"Price vs Rolling Mean (close)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;mean_window=30;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_01_rolling_mean_quantile/T01-A_close_60min_0034.py,01,T01-A_close,60min,"Price vs Rolling Mean (close)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;mean_window=50;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_01_rolling_mean_quantile/T01-A_close_60min_0035.py,01,T01-A_close,60min,"Price vs Rolling Mean (close)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;mean_window=100;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_01_rolling_mean_quantile/T01-A_close_60min_0036.py,01,T01-A_close,60min,"Price vs Rolling Mean (close)","adx_entry=16;adx_entry_weak=14;adx_exit=10;adx_window=21;ema_window=30;max_cycle=50;mean_window=200;price_source_def=close = self.data.pv_close;price_source_series=close;return_window=14;roc_window=14;rsi_window=21;vol_window=34"
thesis_01_rolling_mean_quantile/T01-A_typical_5min_0037.py,01,T01-A_typical,5min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=5;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_typical_5min_0038.py,01,T01-A_typical,5min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=8;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_typical_5min_0039.py,01,T01-A_typical,5min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=10;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_typical_5min_0040.py,01,T01-A_typical,5min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=14;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_typical_5min_0041.py,01,T01-A_typical,5min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=20;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_typical_5min_0042.py,01,T01-A_typical,5min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=30;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_typical_5min_0043.py,01,T01-A_typical,5min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=50;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_typical_5min_0044.py,01,T01-A_typical,5min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=100;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_typical_5min_0045.py,01,T01-A_typical,5min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=7;ema_window=8;max_cycle=30;mean_window=200;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=3;roc_window=3;rsi_window=7;vol_window=14"
thesis_01_rolling_mean_quantile/T01-A_typical_15min_0046.py,01,T01-A_typical,15min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=5;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_typical_15min_0047.py,01,T01-A_typical,15min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=8;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_typical_15min_0048.py,01,T01-A_typical,15min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=10;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_typical_15min_0049.py,01,T01-A_typical,15min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=14;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
thesis_01_rolling_mean_quantile/T01-A_typical_15min_0050.py,01,T01-A_typical,15min,"Price vs Rolling Mean (typical)","adx_entry=22;adx_entry_weak=18;adx_exit=15;adx_window=10;ema_window=13;max_cycle=50;mean_window=20;price_source_def=typical = self.feat.typprice(high, low, close);price_source_series=typical;return_window=5;roc_window=5;rsi_window=10;vol_window=20"
